modif_id,shop_id,cost,link
1675,12,57603,https://www.techport.ru/
4732,13,68059,StoreX24.ru
4067,5,140660,https://www.svyaznoy.ru/
1098,4,74180,https://biggeek.ru/
5169,1,147397,https://www.citilink.ru/
4323,0,100724,https://www.mvideo.ru/
4644,16,112887,Sold-Out.ru
3815,2,36001,https://www.dns-shop.ru/
2364,6,13530,https://re-store.ru/
1665,16,110123,Sold-Out.ru
1228,6,55026,https://re-store.ru/
3424,9,23402,https://www.oldi.ru/
2722,9,136980,https://www.oldi.ru/
2649,20,85674,iPort.ru
5888,1,94845,https://www.citilink.ru/
1130,12,49096,https://www.techport.ru/
5543,12,10709,https://www.techport.ru/
746,17,36745,coxo.ru
4781,10,146036,https://kcentr.ru/
3061,5,48729,https://www.svyaznoy.ru/
4165,6,130509,https://re-store.ru/
1631,18,103838,Shop-Trubka.ru
4221,19,95453,Quke.ru
4902,20,17931,iPort.ru
2659,10,91573,https://kcentr.ru/
1020,7,20930,https://www.holodilnik.ru/
3544,4,149057,https://biggeek.ru/
1124,17,44642,coxo.ru
3928,2,56060,https://www.dns-shop.ru/
1967,12,140862,https://www.techport.ru/
2966,4,100928,https://biggeek.ru/
5600,0,27869,https://www.mvideo.ru/
875,2,145625,https://www.dns-shop.ru/
1993,17,55052,coxo.ru
338,20,65349,iPort.ru
4705,6,64815,https://re-store.ru/
4966,16,61959,Sold-Out.ru
274,6,29448,https://re-store.ru/
4560,16,124776,Sold-Out.ru
612,4,95460,https://biggeek.ru/
581,3,93045,https://www.eldorado.ru/
5090,13,90640,StoreX24.ru
5506,6,58957,https://re-store.ru/
2162,20,49211,iPort.ru
3689,3,20302,https://www.eldorado.ru/
557,9,31513,https://www.oldi.ru/
2625,20,54893,iPort.ru
1101,9,113887,https://www.oldi.ru/
1514,1,68592,https://www.citilink.ru/
839,14,29312,Wishmaster.me
78,8,128980,https://sbermegamarket.ru/
413,21,65389,123.ru
2561,6,122824,https://re-store.ru/
2979,9,121631,https://www.oldi.ru/
4161,5,109128,https://www.svyaznoy.ru/
868,4,86769,https://biggeek.ru/
3897,3,114272,https://www.eldorado.ru/
1485,19,137611,Quke.ru
4127,11,117605,https://ulmart-katalog.ru/
3367,18,40595,Shop-Trubka.ru
5256,15,81951,Video-shoper.ru
4500,16,45453,Sold-Out.ru
3236,7,46610,https://www.holodilnik.ru/
