prod_id,char_id,value
0,0,ноутбук
0,1,15.6
0,2,Core i5
0,3,8 ГБ
0,4,дискретная
1,0,ноутбук
1,1,15.6
1,2,Core i5
1,3,8 ГБ
1,4,интегрированная
2,0,ноутбук
2,1,15.6
2,2,Core i7
2,3,8 ГБ
2,4,дискретная
3,0,ноутбук
3,1,14
3,2,Ryzen 7
3,3,8 ГБ
3,4,дискретная
4,0,ноутбук
4,1,15.6
4,2,Core i5
4,3,8 ГБ
4,4,интегрированная
5,0,ноутбук
5,1,15.6
5,2,Core i3
5,3,4 ГБ
5,4,интегрированная
6,0,ноутбук
6,1,15.6
6,2,Core i5
6,3,16 ГБ
6,4,интегрированная
7,0,ноутбук
7,1,15.6
7,2,Core i5
7,3,8 ГБ
7,4,дискретная
8,0,ноутбук
8,1,15.6
8,2,Core i7
8,3,16 ГБ
8,4,дискретная
9,0,ноутбук
9,1,15.6
9,2,Core i5
9,3,4 ГБ
9,4,интегрированная
10,0,ноутбук
10,1,15.6
10,2,Core i5
10,3,16 ГБ
10,4,интегрированная
11,0,ноутбук
11,1,15.6
11,2,Core i5
11,3,4 ГБ
11,4,интегрированная
12,0,ноутбук
12,1,15.6
12,2,Ryzen 3
12,3,8 ГБ
12,4,интегрированная
13,0,ноутбук
13,1,15.6
13,2,Core i5
13,3,16 ГБ
13,4,дискретная
14,0,ноутбук
14,1,15.6
14,2,Core i5
14,3,8 ГБ
14,4,дискретная
15,0,ноутбук
15,1,15.6
15,2,Ryzen 5
15,3,8 ГБ
15,4,интегрированная
16,0,ноутбук
16,1,15.6
16,2,Core i5
16,3,4 ГБ
16,4,интегрированная
17,0,ноутбук
17,1,16.1
17,2,Ryzen 5
17,3,16 ГБ
17,4,дискретная
18,0,ультрабук
18,1,13.3
18,2,Apple
18,3,8 ГБ
18,4,интегрированная
19,0,ноутбук
19,1,15.6
19,2,Core i7
19,3,8 ГБ
19,4,дискретная
20,0,ноутбук
20,1,15.6
20,2,Core i5
20,3,8 ГБ
20,4,интегрированная
21,0,ноутбук
21,1,15.6
21,2,Ryzen 3
21,3,8 ГБ
21,4,интегрированная
22,0,ноутбук
22,1,15.6
22,2,Ryzen 7
22,3,16 ГБ
22,4,дискретная
23,0,ноутбук
23,1,15.6
23,2,Core i5
23,3,8 ГБ
23,4,интегрированная
24,0,ноутбук
24,1,15.6
24,2,Core i5
24,3,16 ГБ
24,4,интегрированная
25,0,ультрабук
25,1,14
25,2,Ryzen 5
25,3,16 ГБ
25,4,интегрированная
26,0,ноутбук
26,1,15.6
26,2,Core i5
26,3,8 ГБ
26,4,дискретная
27,0,ноутбук
27,1,15.6
27,2,Ryzen 7
27,3,16 ГБ
27,4,дискретная
28,0,ноутбук
28,1,15.6
28,2,Core i3
28,3,4 ГБ
28,4,интегрированная
29,0,ноутбук
29,1,14
29,2,Ryzen 5
29,3,8 ГБ
29,4,интегрированная
30,0,ноутбук
30,1,17.3
30,2,Ryzen 7
30,3,16 ГБ
30,4,дискретная
31,0,ноутбук
31,1,15.6
31,2,Core i3
31,3,4 ГБ
31,4,интегрированная
32,0,ноутбук
32,1,15.6
32,2,Ryzen 3
32,3,4 ГБ
32,4,интегрированная
33,0,ноутбук
33,1,15.6
33,2,Pentium
33,3,4 ГБ
33,4,интегрированная
34,0,ноутбук
34,1,15.6
34,2,Celeron
34,3,4 ГБ
34,4,интегрированная
35,0,ноутбук
35,1,15.6
35,2,Ryzen 5
35,3,8 ГБ
35,4,интегрированная
36,0,ноутбук
36,1,15.6
36,2,Ryzen 5
36,3,8 ГБ
36,4,интегрированная
37,0,ноутбук
37,1,17.3
37,2,Core i5
37,3,16 ГБ
37,4,дискретная
38,0,ноутбук
38,1,15.6
38,2,Core i7
38,3,16 ГБ
38,4,дискретная
39,0,ноутбук
39,1,16.1
39,2,Ryzen 7
39,3,16 ГБ
39,4,дискретная
40,0,ноутбук
40,1,15.6
40,2,Ryzen 5
40,3,16 ГБ
40,4,дискретная
41,0,ультрабук
41,1,13.3
41,2,Apple
41,3,8 ГБ
41,4,интегрированная
42,0,ноутбук
42,1,15.6
42,2,Core i5
42,3,16 ГБ
42,4,дискретная
43,0,ноутбук
43,1,15.6
43,2,Core i5
43,3,16 ГБ
43,4,дискретная
44,0,ноутбук
44,1,15.6
44,2,Core i5
44,3,4 ГБ
44,4,интегрированная
45,0,ноутбук
45,1,14.2
45,2,Apple
45,3,16 ГБ
45,4,интегрированная
46,0,ноутбук
46,1,15.6
46,2,Celeron
46,3,4 ГБ
46,4,интегрированная
47,0,ультрабук
47,1,14
47,2,Ryzen 7
47,3,16 ГБ
47,4,интегрированная
48,0,ультрабук
48,1,13.3
48,2,Apple
48,3,8 ГБ
48,4,интегрированная
49,0,ноутбук
49,1,17.3
49,2,Core i5
49,3,8 ГБ
49,4,дискретная
50,0,ноутбук
50,1,15.6
50,2,Ryzen 7
50,3,16 ГБ
50,4,интегрированная
51,0,ноутбук
51,1,15.6
51,2,Ryzen 7
51,3,16 ГБ
51,4,интегрированная
52,0,ноутбук
52,1,15.6
52,2,Ryzen 7
52,3,16 ГБ
52,4,дискретная
53,0,ультрабук
53,1,13.3
53,2,Apple
53,3,8 ГБ
53,4,интегрированная
54,0,ноутбук
54,1,15.6
54,2,Ryzen 3
54,3,8 ГБ
54,4,интегрированная
55,0,ноутбук
55,1,15.6
55,2,Ryzen 5
55,3,8 ГБ
55,4,интегрированная
56,0,ультрабук
56,1,13.6
56,2,Apple
56,3,8 ГБ
56,4,интегрированная
57,0,ноутбук
57,1,15.6
57,2,Core i3
57,3,8 ГБ
57,4,интегрированная
58,0,ноутбук
58,1,15.6
58,2,Core i5
58,3,8 ГБ
58,4,дискретная
59,0,ультрабук
59,1,13.3
59,2,Apple
59,3,8 ГБ
59,4,интегрированная
60,0,ультрабук
60,1,14
60,2,Ryzen 5
60,3,8 ГБ
60,4,дискретная
61,0,ультрабук
61,1,13.3
61,2,Apple
61,3,8 ГБ
61,4,интегрированная
62,0,ультрабук
62,1,13.3
62,2,Apple
62,3,8 ГБ
62,4,интегрированная
63,0,ультрабук
63,1,14
63,2,Ryzen 5
63,3,8 ГБ
63,4,интегрированная
64,0,ноутбук
64,1,15.6
64,2,Celeron
64,3,4 ГБ
64,4,интегрированная
65,0,ультрабук
65,1,13.3
65,2,Apple
65,3,16 ГБ
65,4,интегрированная
66,0,ноутбук
66,1,15.6
66,2,Ryzen 5
66,3,16 ГБ
66,4,интегрированная
67,0,ноутбук
67,1,14
67,2,Ryzen 9
67,3,16 ГБ
67,4,дискретная
68,0,ноутбук
68,1,15.6
68,2,Pentium
68,3,8 ГБ
68,4,интегрированная
69,0,ноутбук
69,1,15.6
69,2,Core i3
69,3,8 ГБ
69,4,интегрированная
70,0,ноутбук
70,1,15.6
70,2,Core i7
70,3,32 ГБ
70,4,дискретная
71,0,ноутбук
71,1,15.6
71,2,Core i9
71,3,16 ГБ
71,4,дискретная
72,0,ультрабук
72,1,13.6
72,2,Apple
72,3,8 ГБ
72,4,интегрированная
73,0,ноутбук
73,1,15.6
73,2,Ryzen 3
73,3,4 ГБ
73,4,интегрированная
74,0,ноутбук
74,1,15.6
74,2,Ryzen 3
74,3,8 ГБ
74,4,интегрированная
75,0,ноутбук
75,1,15.6
75,2,Ryzen 3
75,3,8 ГБ
75,4,интегрированная
76,0,ноутбук
76,1,15.6
76,2,Core i5
76,3,8 ГБ
76,4,интегрированная
77,0,ноутбук
77,1,16.2
77,2,Apple
77,3,16 ГБ
77,4,интегрированная
78,0,ноутбук
78,1,15.6
78,2,Ryzen 7
78,3,16 ГБ
78,4,интегрированная
79,0,ноутбук
79,1,15.6
79,2,Core i3
79,3,8 ГБ
79,4,интегрированная
80,0,ноутбук
80,1,14.2
80,2,Apple
80,3,16 ГБ
80,4,интегрированная
81,0,ноутбук
81,1,15.6
81,2,Core i5
81,3,8 ГБ
81,4,интегрированная
82,0,ноутбук
82,1,16.1
82,2,Core i7
82,3,16 ГБ
82,4,интегрированная
83,0,ультрабук
83,1,13.6
83,2,Apple
83,3,8 ГБ
83,4,интегрированная
84,0,ноутбук
84,1,15.6
84,2,Ryzen 5
84,3,16 ГБ
84,4,дискретная
85,0,ноутбук
85,1,15.6
85,2,Core i7
85,3,16 ГБ
85,4,интегрированная
86,0,ноутбук
86,1,14.2
86,2,Apple
86,3,16 ГБ
86,4,интегрированная
87,0,ноутбук
87,1,15.6
87,2,Core i5
87,3,8 ГБ
87,4,интегрированная
88,0,ультрабук
88,1,13.6
88,2,Apple
88,3,8 ГБ
88,4,интегрированная
89,0,ноутбук
89,1,17.3
89,2,Core i7
89,3,16 ГБ
89,4,дискретная
90,0,ноутбук
90,1,15.6
90,2,Core i3
90,3,8 ГБ
90,4,интегрированная
91,0,ноутбук
91,1,15.6
91,2,Core i3
91,3,8 ГБ
91,4,интегрированная
92,0,ноутбук
92,1,15.6
92,2,Core i3
92,3,8 ГБ
92,4,интегрированная
93,0,ноутбук
93,1,14.2
93,2,Apple
93,3,16 ГБ
93,4,интегрированная
94,0,ультрабук
94,1,13.6
94,2,Apple
94,3,8 ГБ
94,4,интегрированная
95,0,ноутбук
95,1,15.6
95,2,Ryzen 5
95,3,8 ГБ
95,4,интегрированная
96,0,ноутбук
96,1,15.6
96,2,Core i7
96,3,16 ГБ
96,4,дискретная
97,0,ноутбук
97,1,16.2
97,2,Apple
97,3,32 ГБ
97,4,интегрированная
98,0,ноутбук
98,1,15.6
98,2,Ryzen 3
98,3,8 ГБ
98,4,интегрированная
99,0,ноутбук
99,1,14
99,2,Ryzen 9
99,3,16 ГБ
99,4,дискретная
100,0,ноутбук
100,1,14
100,2,Ryzen 9
100,3,16 ГБ
100,4,дискретная
101,0,ноутбук
101,1,16.2
101,2,Apple
101,3,16 ГБ
101,4,интегрированная
102,0,ультрабук
102,1,14
102,2,Core i5
102,3,8 ГБ
102,4,интегрированная
103,0,ноутбук
103,1,16.2
103,2,Apple
103,3,16 ГБ
103,4,интегрированная
104,0,ноутбук
104,1,15.6
104,2,Core i5
104,3,8 ГБ
104,4,интегрированная
105,0,ультрабук
105,1,13.6
105,2,Apple
105,3,8 ГБ
105,4,интегрированная
106,0,ультрабук
106,1,13.6
106,2,Apple
106,3,8 ГБ
106,4,интегрированная
107,0,ультрабук
107,1,14
107,2,Core i5
107,3,8 ГБ
107,4,интегрированная
108,0,ультрабук
108,1,13.6
108,2,Apple
108,3,8 ГБ
108,4,интегрированная
109,0,ноутбук
109,1,15.6
109,2,Core i3
109,3,8 ГБ
